,text,intent
96,please tell me how many nonstop flights there are from boston to atlanta,Quantity.
97,on the earliest flight from san francisco to atlanta on delta is a meal being served,Flight.
98,where does canadian airlines international fly,Flight.
99,what flights from denver to pittsburgh arrive before 8 in the morning,Flight.
100,find me the earliest flight from boston to atlanta,Flight.
101,list nonstop flights from houston to dallas which arrive before midnight,Flight.
102,show me the flights from boston to san francisco that stop in atlanta,Flight.
103,show me flights to san francisco from philadelphia stopping in dallas,Flight.
104,what city is the airport mco in,City.
105,how much does it cost to rent a car in tacoma,Ground Fare.
106,show me flights from baltimore to dallas,Flight.
107,show me a list of ground transportation at denver,Ground Service.
108,i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available,Flight.
109,also show me flights from san francisco to pittsburgh on tuesday,Flight.
110,show flights from dallas to oakland,Flight.
111,give me the cheapest flight from charlotte to long beach,Flight.
112,show me all flights from san francisco to pittsburgh,Flight.
113,find me a flight on united from boston to san francisco with a stopover in denver,Flight.
114,show me the last flight from love field,Flight.
115,what flights go from newark to boston after 5 pm,Flight.
116,what are all the flights from boston to dallas,Flight.
117,what is the earliest flight departing san francisco and arriving in boston on november ninth,Flight.
118,what is the earliest flight flying from pittsburgh to atlanta on july fifth,Flight.
119,please list available flights for next saturday from philadelphia to dallas,Flight.
120,what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday,Flight.
121,what is the transportation time from the airport to boston,Ground Service.
122,which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth,Airline.
123,what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two,Flight.
124,what are the classes of service for american airlines,Flight.
125,i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,Flight.
126,all flights from boston to washington dc on november tenth,Flight.
127,what are the flights from denver to san francisco,Flight.
128,on the 8 am flight from san francisco to atlanta what type of aircraft is used,Aircraft.
129,which flight is a one way fare at 329 dollars from denver to pittsburgh,Flight.
130,what flights leave baltimore for boston after 6 o'clock on friday,Flight.
131,okay i need to get a flight from houston to seattle,Flight.
132,please list flights between denver and boston,Flight.
133,find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon,Flight.
134,i would like some information on flights leaving boston to atlanta,Flight.
135,show me the latest nonstop flight from denver to washington dc,Flight.
136,what are the flights from dallas to baltimore,Flight.
137,i would like a nonstop flight from new york to las vegas on march second,Flight.
138,no i want to go from denver to oakland,Flight.
139,show me all the night fares between philadelphia and san francisco,Airfare.
140,what kinds of ground transportation is available in dallas fort worth,Ground Service.
141,can you show me economy class one way fares for flights from oakland to dallas on december sixteenth,Airfare.
142,what is fare code qw,Abbreviation.
143,i 'd like a flight on july ninth from orlando to kansas city in the afternoon,Flight.
144,what are the coach fares from charlotte to la wednesday night,Airfare.
145,is there ground transportation available in denver,Ground Service.
146,show me flights from philadelphia to oakland on friday,Flight.
147,i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning,Flight.
148,i would like to fly the cheapest rate available from pittsburgh to atlanta on wednesday morning,Flight.
149,list the flight from philadelphia to san francisco on american airlines,Flight.
150,flights from memphis to las vegas on sunday,Flight.
151,what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am,Flight.
152,what is the first class fare on united flight 352 from denver to boston,Airfare.
153,flight from philadelphia to dallas arriving before 4 pm on saturday,Flight.
154,list flights tomorrow from san diego to phoenix,Flight.
155,show me all flights from san francisco to washington dc area,Flight.
156,sure i want to go from philadelphia to dallas,Flight.
157,show me all the united airlines flights leaving dallas,Flight.
158,can you list all the flights between phoenix and las vegas,Flight.
159,list all flights from baltimore to philadelphia,Flight.
160,round trip flights from minneapolis to san diego coach economy fare,Flight.
161,i want to fly from boston to denver and i don 't want any stopovers and i 'd like to fly only during the afternoon,Flight.
162,flights from denver to baltimore between 10 am and 2 pm,Flight.
163,show me the flights from denver to atlanta,Flight.
164,what flights are there on delta from boston to dallas,Flight.
165,what kind of ground transportation can you offer me in seattle,Ground Service.
166,leaving washington going to san francisco the latest flight,Flight.
167,show me the flights available from atlanta to baltimore leaving atlanta in the morning,Flight.
168,round trip fares new york to san jose,Airfare.
169,which flights are serviced by american airlines,Flight.
170,how do i get from pittsburgh airport to downtown pittsburgh,Flight.
171,does midwest express serve charlotte,Flight.
172,what flights from houston to milwaukee on friday in the evening on american airlines,Flight.
173,what is the earliest flight going from san francisco to dallas on monday august nineteenth,Flight.
174,what flights from atlanta to st. louis on tuesday arriving around 230 pm,Flight.
175,i need a flight from kansas city to chicago that leaves wednesday and arrives in chicago around 7 pm,Flight.
176,i would like information on any flights from pittsburgh to san francisco leaving thursday evening,Flight.
177,i need a cheap flight from baltimore to san francisco,Flight.
178,what is the cost of a first class ticket from baltimore to dallas,Airfare.
179,what is the economy thrift fare from boston to washington,Airfare.
180,list the nonstop flights early tuesday morning from dallas to atlanta,Flight.
181,what is the earliest flight you have that leaves philadelphia to dallas,Flight.
182,are there any flights from dallas fort worth to boston leaving before 10 am,Flight.
183,show me all the flights to baltimore after 6 o'clock pm,Flight.
184,i need a return flight from philadelphia to boston,Flight.
185,united airlines flights stopping in denver before noon,Flight.
186,show me the car rentals in baltimore,Ground Service.
187,what flights go from newark to boston after 1024 in the morning,Flight.
188,shortest evening flight from tampa to cincinnati,Flight.
189,how much time does it take to go between the airport and downtown by ground transportation in dallas,Ground Service.
190,flights from boston to pittsburgh,Flight.
191,i 'd like to fly continental airlines between boston and philadelphia,Flight.
192,i would like to book a flight on continental airlines from chicago to seattle on june first,Flight.
193,all flights from pittsburgh to dallas round trip after 12 pm less than 100,Flight.
194,show me flights on sunday going from san francisco to boston nonstop first class leaving after 12 noon,Flight.
195,from las vegas to phoenix,Flight.
196,show me flights from pittsburgh to atlanta on monday afternoon,Flight.
197,show me the flight with the smallest seating capacity which leaves pittsburgh and arrives in baltimore on june fourteenth,Flight.
198,show all flights from boston to denver on july thirty first,Flight.
199,are there any flights before 12 noon on june fifteenth from long beach to columbus,Flight.
200,list daily flights from boston to atlanta,Flight.
201,on a flight from san francisco to atlanta that leaves before 8 am is there such a flight,Flight.
202,on united airlines give me the flight times from boston to dallas,Flight Time.
203,ground transportation minneapolis,Ground Service.
204,show me airline abbreviations,Airline.
205,how many flights does delta have with a class of service code f,Quantity.
206,please list all the arriving and departing flights from general mitchell international,Flight.
207,i would like to see the flights from denver to philadelphia please,Flight.
208,does eastern airlines fly early in the morning between logan and bwi,Flight.
209,what flights leave phoenix on american airlines,Flight.
210,can you list all the airlines that have flights from boston to san francisco,Airline.
211,flights from nashville to orlando daily,Flight.
212,show me first class flights from pittsburgh to san francisco on friday,Flight.
213,i need the earliest flight from denver to boston that serves dinner,Flight.
214,from toronto to atlanta in the afternoon,Flight.
215,please list the friday afternoon flights from san jose to dallas on american airlines,Flight.
216,is there ground transportation in boston from the airport,Ground Service.
217,show first flight from pittsburgh to atlanta on wednesday,Flight.
218,i 'm sorry i wanted to fly twa is there a flight between oakland and boston with a stopover in dallas fort worth on twa,Flight.
219,show me all flights from san francisco to la guardia nonstop,Flight.
220,what flights are there from pittsburgh to los angeles,Flight.
221,what kind of ground transportation is there in washington dc,Ground Service.
222,what is the least expensive flight available from dallas fort worth to san francisco,Flight.
223,what does the fare code f mean,Abbreviation.
224,what 's the most expensive way i can fly to washington,Flight.
225,what flights from houston to milwaukee on friday on american airlines,Flight.
226,what is the schedule of ground transportation from the airport in philadelphia into downtown,Ground Service.
227,show me a list of flights from san francisco to boston for august thirtieth,Flight.
228,show me the least expensive flight from miami to cleveland on sunday after noon,Flight.
229,how much does it cost to go from downtown to logan airport,Airfare.
230,what flights are there from newark to tampa,Flight.
231,i want a flight from philadelphia to dallas that at least has one stop,Flight.
232,show flights from denver to oakland arriving between 12 and 1 o'clock,Flight.
233,what is the fare from san francisco to dallas fort worth on delta flight 852,Airfare.
234,flights from newark new jersey to cleveland ohio,Flight.
235,give me flights from denver to baltimore,Flight.
236,show the flights from denver to san francisco,Flight.
237,show me flights denver to washington dc on thursday,Flight.
238,please list the thursday morning flights from st. louis to st. paul,Flight.
239,what flight do you have from pittsburgh to san francisco on the morning of august twenty seventh,Flight.
240,what are the flights from boston to atlanta,Flight.
241,what flights from baltimore to san francisco arrive before 8 pm in san francisco,Flight.
242,show me the flights from pittsburgh to san francisco for thursday night or friday,Flight.
243,get me a first class flight on american to san francisco on tuesday next week,Flight.
244,ground transportation in westchester county,Ground Service.
245,what flights are there from atlanta to baltimore,Flight.
246,i 'd like to fly from dallas to san francisco at approximately 615 pm,Flight.
247,list the fares of us air flights from boston to philadelphia,Airfare.
248,list flights from phoenix to detroit on thursday june twenty fourth,Flight.
249,what flights from miami to indianapolis on sunday,Flight.
250,now show me the flights from memphis to cleveland,Flight.
251,can you give me information on all the flights from san francisco no from pittsburgh to san francisco on monday,Flight.
252,could you find me a flight from boston to san francisco that stops in denver,Flight.
253,flights from cleveland to miami,Flight.
254,give me the flights from pittsburgh to los angeles thursday evening,Flight.
255,please list all of the flights leaving atlanta heading to baltimore after 8 pm wednesday and before 9 am thursday,Flight.
256,show me flights from seattle to san francisco that leave after 5 pm,Flight.
257,show me the flights that go from tacoma to miami,Flight.
258,which airline can fly me from atlanta to denver to san francisco,Airline.
259,are there any flights from denver to pittsburgh with stops in atlanta,Flight.
260,list all the flights that arrive at general mitchell international,Flight.
261,what is fare code h,Abbreviation.
262,what flights from salt lake city to new york city arrive next saturday before 6 pm,Flight.
263,flights from nashville to seattle,Flight.
264,show me fares from seattle to minneapolis,Airfare.
265,i need a flight from boston to san francisco via dallas fort worth,Flight.
266,i 'd like an afternoon flight from atlanta to san francisco with a stopover in denver arriving i 'd say about mealtime,Flight.
267,show me the most expensive one way flight from detroit to westchester county,Flight.
268,show me the flights from baltimore to philadelphia,Flight.
269,from denver to washington dc on monday november eleventh 1991,Flight.
270,please list all the flights from boston to denver which serve meals,Flight.
271,list aircraft types that fly between boston and san francisco,Aircraft.
272,what does fare code qw mean,Abbreviation.
273,i 'm interested in a flight on american airlines from dallas to washington,Flight.
274,give me flights from pittsburgh to baltimore,Flight.
275,how much is a round trip fare from indianapolis to seattle,Airfare.
276,what is the cheapest flight from long beach to memphis,Flight.
277,which airline provides business class flights,Airline.
278,pittsburgh to denver,Flight.
279,which airlines fly between boston and pittsburgh,Airline.
280,list the flights arriving in atlanta from baltimore before noon on august fourth,Flight.
281,give me the flights for american airline from philadelphia to dallas,Flight.
282,i need a flight this sunday from miami to las vegas and i would prefer a morning flight,Flight.
283,flights from boston to pittsburgh,Flight.
284,which flights go from pittsburgh to atlanta in the evening,Flight.
285,show me the fares from dallas to san francisco,Airfare.
286,give me american airlines flights from milwaukee to phoenix on saturday and on sunday,Flight.
287,list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,Flight.
288,show me the flights from baltimore to oakland,Flight.
289,show me the earliest flight from denver to las vegas,Flight.
290,show me flights from milwaukee to orlando on wednesday night,Flight.
291,may i have a listing of flights from milwaukee to tacoma washington departing in the evening,Flight.
292,what morning flights do you have between oakland and denver,Flight.
293,i 'd like a flight from washington that stops in denver and goes on to san francisco,Flight.
294,show me all flights from pittsburgh to baltimore tomorrow,Flight.
295,all one way flights between boston and philadelphia,Flight.
296,what flights go to san francisco from boston,Flight.
297,what flights are there from san francisco to philadelphia daily with economy class,Flight.
298,first flights from pittsburgh to atlanta on a thursday,Flight.
299,show me the flights from baltimore to atlanta,Flight.
300,tell me about flights from toronto to salt lake city leaving after 530 pm,Flight.
301,show me the flights from indianapolis to orlando with round trip fares less than 1288,Flight.
302,i need a flight from boston to pittsburgh that leaves early in the morning,Flight.
303,what is the first flight from atlanta to baltimore that serves lunch,Flight.
304,show me the flights from pittsburgh to baltimore,Flight.
305,all flights from denver to philadelphia,Flight.
306,oakland to philadelphia saturday,Flight.
307,give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,Flight.
308,show me flights on monday from philadelphia to boston after 7 am,Flight.
309,show me all the flights leaving baltimore,Flight.
310,show me the flights from philadelphia to boston,Flight.
311,is there a plane from boston to washington,Aircraft.
312,i need to go from boston to atlanta and back in the same day find me the earliest flight from boston,Flight.
313,what are flights between boston and pittsburgh on august tenth,Flight.
314,what are the schedule of flights from boston to san francisco for august first,Flight Time.
315,show me one way flights from milwaukee to orlando wednesday,Flight.
316,show me all flights from pittsburgh to baltimore tomorrow which serve a meal,Flight.
317,give me flights on american airlines from milwaukee to phoenix,Flight.
318,show all flights from pittsburgh to san francisco,Flight.
319,i wish to fly from boston to washington please find an airline for me,Flight.
320,please list the flights from dallas fort worth to dc baltimore on july twenty third,Flight.
321,which flights from memphis to tacoma also stop in los angeles,Flight.
322,show me the flights on tuesday morning from charlotte to baltimore,Flight.
323,i need 2 first class tickets from dallas fort worth to san francisco,Airfare.
324,are there any flights from philadelphia to dallas which stop in atlanta,Flight.
325,flights to baltimore,Flight.
326,what does mco stand for,Abbreviation.
327,what is the least expensive way to fly from philadelphia to san francisco,Flight.
328,list all nonstop flights from los angeles to pittsburgh before 5 pm on tuesday,Flight.
329,how many booking classes are there,Quantity.
330,flight numbers from columbus to minneapolis tomorrow,Flight No.
331,give me the continental flights from chicago to seattle on friday,Flight.
332,what are the united airlines flights between baltimore and denver on august twelfth,Flight.
333,show me the flights next tuesday between philadelphia and san francisco,Flight.
334,find a flight on american airlines from boston to san francisco that makes a stopover in denver,Flight.
335,show me the fares on all flights round trip from pittsburgh to oakland,Airfare.
336,what 's the difference between fare code q and fare code f,Abbreviation.
337,flights from cincinnati to salt lake city,Flight.
338,ground transportation denver,Ground Service.
339,show me flights from denver to washington dc on wednesdays,Flight.
340,find a flight between denver and oakland the flight should be in the afternoon and arrive close to 5 pm the flight should be nonstop,Flight.
341,show me all flights from atlanta to washington with prices,Flight.
342,flights between new york and miami,Flight.
343,please list the monday morning flights from kansas city to atlanta,Flight.
344,list all american airlines flights from phoenix to milwaukee which arrive on wednesday after 4 pm,Flight.
345,what round trip tickets are there from cleveland to miami on us air that arrive before 4 pm,Airfare.
346,i 'd like to go from boston to denver at 9 o'clock saturday night,Flight.
347,show me the northwest flights from detroit to st. petersburg,Flight.
348,what is the available ground transportation between the airport in denver and downtown,Ground Service.
349,on may four atlanta to denver delta flight 257,Flight.
350,show me all flights from indianapolis,Flight.
351,which airlines have flights between philadelphia and pittsburgh,Airline.
352,which are the flights from denver to baltimore or washington dc,Flight.
353,list the number of flights leaving boston for dallas fort worth before 9 am in the morning,Quantity.
354,are there delta flights leaving atlanta,Flight.
355,can you list all round trip flights from orlando to kansas city and then to minneapolis,Flight.
356,i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you,Flight.
357,i would like a flight from washington to boston leaving at 230 on august twentieth,Flight.
358,how much is a flight from washington to boston,Airfare.
359,show me all flights from orlando to san diego on a boeing 737,Flight.
360,what flights are there on sunday from seattle to minneapolis,Flight.
361,where is mco,City.
362,show me all flights from pittsburgh to atlanta,Flight.
363,which united airlines flight flies across this continent and leaves from boston goes to dallas and makes a stopover in philadelphia,Flight.
364,list daily flights of united airline from denver to baltimore with first class service,Flight.
365,show me flights from pittsburgh to atlanta on monday morning,Flight.
366,all flights phoenix to sfo,Flight.
367,i want to travel from washington dc to philadelphia on tuesday morning,Flight.
368,what is the fare going from atlanta to boston one way on november seventh,Airfare.
369,is there a flight on american airlines from boston to denver,Flight.
370,what flights are available from san francisco to pittsburgh on thursday evening,Flight.
371,do you have an afternoon flight leaving in the afternoon going from boston to san francisco with a stopover in dallas,Flight.
372,show the flights from pittsburgh to san francisco again on monday,Flight.
373,show me a list of flights on american airlines from boston to dc on july twenty second,Flight.
374,now i 'd like flights from philadelphia to pittsburgh leaving between 430 and 530 pm,Flight.
375,what economy flights are available from dallas to baltimore on december seventeenth,Flight.
376,please show me flights from san francisco to dallas,Flight.
377,please show me all the flights from indianapolis to san diego tomorrow,Flight.
378,what does flight code us mean,Flight.
379,i would like a flight from denver to pittsburgh,Flight.
380,what is the flight schedule of the f28 from pittsburgh to baltimore,Flight Time.
381,looking for a flight from dc to minnesota,Flight.
382,how many us air flights leave from washington,Quantity.
383,show me times for flights from san francisco to atlanta,Flight Time.
384,what flights are there on wednesday evening or thursday morning from denver to sfo,Flight.
385,how many flights go from dallas to baltimore on july nineteenth,Quantity.
386,could you show me all the flights from oakland to salt lake city,Flight.
387,find me a flight from boston to san francisco with layover in denver on united,Flight.
388,what flights are available between boston and washington arriving in washington at 630,Flight.
389,show me the airlines between toronto and denver,Airline.
390,what flights do you have between pittsburgh and atlanta,Flight.
391,show me the flights from denver to westchester county,Flight.
392,i need information for a flight from denver to atlanta,Flight.
393,what is the cheapest flight from boston to atlanta,Flight.
394,what is the cheapest flight from atlanta to pittsburgh one way,Flight.
395,show me all overnight flights from washington dc to san francisco and list their fares,Flight.
396,round trip flights between new york and miami,Flight.
397,show me the one way flight from detroit to westchester county with the highest fare,Flight.
398,what flights are there from newark to chicago on continental,Flight.
399,i 'm trying to make a connection between denver and san francisco does delta airline fly between those two,Flight.
400,what is the latest us air flight leaving philadelphia and returning to boston,Flight.
401,what flights does us air have from san francisco to pittsburgh on tuesday,Flight.
402,can i fly from boston to baltimore washington,Flight.
403,what is mco,Abbreviation.
404,flights from las vegas to phoenix,Flight.
405,i would like to leave around 7 o'clock in the morning,Flight.
406,show me fares from baltimore to philadelphia,Airfare.
407,flights from memphis to seattle,Flight.
408,please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,Flight.
409,flights from atlanta august second,Flight.
410,does american airlines fly from atlanta to philadelphia,Flight.
411,yes i 'd like a flight from long beach to st. louis by way of dallas,Flight.
412,i 'd like to know if you have any flights from denver to philadelphia,Flight.
413,what are the cheapest one way flights from atlanta to denver,Flight.
414,what is the first flight after 12 noon from washington for denver,Flight.
415,how many delta flights leave from washington,Quantity.
416,now list for me only the united flights that flight from oakland to boston,Flight.
417,from philadelphia to toronto,Flight.
418,i am interested in a flight on american airlines from dallas to washington,Flight.
419,what airplane types fly from pittsburgh to baltimore,Aircraft.
420,what is the yn code,Abbreviation.
421,i would like the earliest morning flight from atlanta to philadelphia on wednesday morning,Flight.
422,how many seats in a 100,Capacity.
423,may i have a listing of flights from long beach to columbus ohio on tuesday,Flight.
424,what flights leave from phoenix to nashville on american airlines,Flight.
425,show me all round trips from new york to miami leaving on tuesday,Flight.
426,list all nonstop flights on sunday from tampa to charlotte,Flight.
427,list all flights from burbank to denver,Flight.
428,what are the round trip fares for flights from denver to philadelphia arriving after 1700 on continental,Airfare.
429,i 'd like to see flights from baltimore to atlanta,Flight.
430,please show me the flights from las vegas to detroit on the twenty eighth,Flight.
431,what is ord,Abbreviation.
432,what type of ground transportation is available between the airport and downtown san francisco,Ground Service.
433,is the american flight 813 from boston to oakland a nonstop flight,Flight.
434,give me the flights from washington dc to philadelphia for december second,Flight.
435,show all connecting flights from pittsburgh to oakland,Flight.
436,list daily flights from boston to oakland using twa,Flight.
437,i would like the least expensive airfare flight on sunday to pittsburgh from san francisco,Airfare.
438,i need a flight from san diego to indianapolis leaving in the afternoon on tuesday,Flight.
439,can you give me the evening flight on wednesday from washington to atlanta again,Flight.
440,i would like to book a flight from los angeles to pittsburgh on june first,Flight.
441,what flights from atlanta to washington,Flight.
442,show me all flights direct only from boston to san francisco or oakland that arrive before 10 am local time,Flight.
443,first class round trip airfare from indianapolis to memphis,Airfare.
444,flights from cincinnati to denver on american airlines,Flight.
445,list all flights on continental leaving denver on sunday after 2134,Flight.
446,show me all flights from charlotte,Flight.
447,show me all nationair flights from toronto,Flight.
448,what are the fares from newark to la monday and wednesday,Airfare.
449,show me flights from denver to atlanta on june sixteenth,Flight.
450,please show me round trip tickets from denver to oakland,Airfare.
451,list all flights on united from san francisco to boston with fare code qx,Flight.
452,how many flights does twa have in business class,Quantity.
453,list all flights going from boston to atlanta after 6 o'clock on wednesday and before 7 o'clock am on thursday,Flight.
454,show me the flights to love field,Flight.
455,show me flights from pittsburgh to philadelphia,Flight.
456,show me the flights from philadelphia to atlanta,Flight.
457,philadelphia to dallas arriving before 1 in the afternoon,Flight.
458,i need a flight from tampa to montreal,Flight.
459,please give me flights leaving san francisco and going to pittsburgh,Flight.
460,what do you have from philadelphia to dallas on saturday morning,Flight.
461,flight leaving from oakland to salt lake city,Flight.
462,tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth,Flight.
463,list all flights from boston to san francisco with the maximum number of stops,Flight.
464,are there any flights from atlanta to denver,Flight.
465,what are the flights dallas to boston on monday morning,Flight.
466,show me flights leaving from denver colorado to pittsburgh pennsylvania on wednesdays after 5 pm,Flight.
467,i need flight information between atlanta and boston,Flight.
468,what are my choices of flights from las vegas to new york,Flight.
469,what is the cheapest flight from boston to san francisco,Flight.
470,on continental airlines any class service from san francisco to pittsburgh,Flight.
471,find the cheapest flight from denver to atlanta with a stopover in pittsburgh,Flight.
472,what are the lowest one way fares from atlanta to denver,Airfare.
473,are there any flights from boston to san francisco stopping in denver,Flight.
474,flights from kansas city to cleveland on wednesday,Flight.
475,how much is a round trip fare from memphis to seattle,Airfare.
476,show me the flights into love field,Flight.
477,i 'd like to fly from philadelphia to dallas through atlanta,Flight.
478,information on flights from pittsburgh to philadelphia,Flight.
479,what flights does american airlines fly from philadelphia to dallas,Flight.
480,i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route,Flight.
481,i would like the time of all flights from san francisco to pittsburgh on sunday,Flight Time.
482,show me ground transportation in dallas please,Ground Service.
483,are there any nonstop flights leaving from denver arriving in baltimore on july seventh,Flight.
484,how much does dl 746 cost,Airfare.
485,what is the earliest flight from boston to san francisco on american airlines,Flight.
486,please list ground transport in san francisco,Ground Service.
487,i need a flight from ontario to los angeles on a thursday,Flight.
488,show me flights from all airports to love field,Flight.
489,list the flights from pittsburgh to san francisco on thursday,Flight.
490,what flights are available from denver to baltimore first class on united airlines arriving may seventh before noon,Flight.
491,which airlines are represented in the database,Airline.
492,which flight between pittsburgh and baltimore on july nineteenth has the smallest seating capacity,Flight.
493,list all trans world airline flights from indianapolis to houston that arrive in houston between 1030 am and 1130 am,Flight.
494,what flights are there from new york city to las vegas,Flight.
495,is there ground transportation from san diego airport to the downtown area,Ground Service.
496,shortest morning flights from cincinnati to tampa,Flight.
497,what 's the last flight from houston to dallas,Flight.
