,utterance,intent
49,Can I wear shorts today?,Get Weather.
50,will the beach be sunny tomorrow,Get Weather.
51,whats the weather like in paris next week,Get Weather.
52,what did the news say the weather would be like in florida,Get Weather.
53,What is the sunset tonight?,Get Sunset.
54,What will the weather be like in Cancun Mexico today?,Get Weather.
55,Is there a storm coming?,Get Weather.
56,what time will the rain stop,Get Weather.
57,What is the weather forecast?,Get Weather.
58,What's the forecast for every day of the week?,Get Weather.
59,Is it raining today in new York ?,Get Weather.
60,What's the low temperature supposed to be today?,Get Weather.
61,will it be sunny tomorrow?,Get Weather.
62,What time is sundown today?,Get Weather.
63,How much snow is going to fall?,Get Weather.
64,what is the temp going to be this weekend,Get Weather.
65,"What is the weather this weekend in Destin, Florida?",Get Weather.
66,What's the high for today,Get Weather.
67,Do I need winter boots in Denver in the month of December?,Get Weather.
68,What is the likelihood of snow tomorrow?,Get Weather.
69,do I need to bring a jacket today?,Get Weather.
70,do i need an umbrella today?,Get Weather.
71,Do I need a jacket today?,Get Weather.
72,Will it rain today?,Get Weather.
73,temperature in chandler,Get Weather.
74,will it rain this week,Get Weather.
75,Weather for the week,Get Weather.
76,Will the weather be clear on Saturday?,Get Weather.
77,Will it rain today?,Get Weather.
78,storms today?,Get Weather.
79,What's the weather in Mexico?,Get Weather.
80,What is the local forecast for this weekend?,Get Weather.
81,are there any warnings today,Get Weather.
82,Will it be cloudy all day?,Get Weather.
83,What's tomorrow's forecast?,Get Weather.
84,Is it going to snow this week?,Get Weather.
85,Will it be cloudy tomorrow?,Get Weather.
86,What is the low temperature for Olympia today?,Get Weather.
87,Is there a flood warning?,Get Weather.
88,What it the low for this week.,Get Weather.
89,What time will it start to rain today?,Get Weather.
90,does it snow anywhere in Georgia?,Get Weather.
91,Is it suppose to be cloudy tomorrow?,Get Weather.
92,How hot will it get Saturday?,Get Weather.
93,What is the weather going to be like this week at Miami beach?,Get Weather.
94,whats the weather for this week?,Get Weather.
95,Is it going to snow tomorrow,Get Weather.
96,I want to know what days it may storm this week.,Get Weather.
97,Is snow in the forecast,Get Weather.
98,Are there any current weather travel advisories?,Get Weather.
99,Should I wear rain boots today?,Get Weather.
100,is today considered beach weather?,Get Weather.
101,how long is it going to rain,Get Weather.
102,When is it supposed to rain next?,Get Weather.
103,I need this weeks weather forecast please.,Get Weather.
104,whats the low for tomorrow,Get Weather.
105,Is Miami getting rain today?,Get Weather.
106,Weather this week,Get Weather.
107,What is the forecast for today?,Get Weather.
108,Weather please St. Louis Missouri.,Get Weather.
109,What is the weekend forecast?,Get Weather.
110,Is there a hurricane heading to the US?,Get Weather.
111,Is there a rip current at the beach this weekend?,Unsupported Weather.
112,what is the temperature,Get Weather.
113,Is it going to snow today?,Get Weather.
114,Is there a tornado threat?,Get Weather.
115,What is the temperature going to be tomorrow?,Get Weather.
116,weather,Get Weather.
117,When is it going to rain again in Atlanta?,Get Weather.
118,should I bring a sweater with me today?,Get Weather.
119,what's the chance of rain today?,Get Weather.
120,Is it raining today in London?,Get Weather.
121,Will it get to 80 degrees today?,Get Weather.
122,give me a forecast for Italy this week,Get Weather.
123,do i need a jacket in san fran tonight,Get Weather.
124,How does the weather look today?,Get Weather.
125,what is the weather in new york,Get Weather.
126,how much of a chance of rain tomorrow,Get Weather.
127,will it snow today,Get Weather.
128,when will it rain this week,Get Weather.
129,do i need an umbrella today,Get Weather.
130,Should I wear rain boots today?,Get Weather.
131,When is the next time it is guessed to rain?,Get Weather.
132,Will it rain on Saturday?,Get Weather.
133,What is the air quality today?,Unsupported Weather.
134,Are there any storms headed my way this week?,Get Weather.
135,What is the humidity today?,Get Weather.
136,how will the weather be at hyde park at 11pm,Get Weather.
137,Will there be any winds today?,Get Weather.
138,What is today's forecast?,Get Weather.
139,what is the temperature for Myrtle Beach this weekend,Get Weather.
140,is it going to storm this weekend,Get Weather.
141,Tell me this weeks weather forecast.,Get Weather.
142,What is the weather near me?,Get Weather.
143,will it sleet,Get Weather.
144,what is the weather going to be tomorrow in Seattle,Get Weather.
145,Will it be cloudy tomorrow,Get Weather.
146,"What is the wind chill in Rochester, NY?",Get Weather.
147,Does it snow in this city,Get Weather.
148,Is there a forecast for snow this week?,Get Weather.
149,What is the weather like at the Arctic pole?,Get Weather.
150,What is the weather like In Miami?,Get Weather.
151,what is the current weather in tennessee,Get Weather.
152,how cold is it,Get Weather.
153,Do I need a raincoat?,Get Weather.
154,What is the weather going to be like this Saturday?,Get Weather.
155,What time is it coldest tomorrow?,Get Weather.
156,What is the weather like in Edison,Get Weather.
157,How hot will it be today?,Get Weather.
158,Is it going to rain in NY when my plane lands,Get Weather.
159,what is the humidity right now?,Get Weather.
160,What is the weather forecast for Denver?,Get Weather.
161,Is it supposed to be windy today?,Get Weather.
162,What is the temperture of Higgins Lake,Get Weather.
163,What is the weather like in Austin,Get Weather.
164,is it windy out,Get Weather.
165,Is there a flash flood warning?,Get Weather.
166,Afternoon temperature,Get Weather.
167,What is today's highs?,Get Weather.
168,What is this week's forecast?,Get Weather.
169,is it going to rain all week,Get Weather.
170,Is rain expected next Wednesday,Get Weather.
171,how many feet of snow will it snow in THE MOUNTains over los angeles?,Get Weather.
172,what is the average temp here next week?,Get Weather.
173,What is the weather in Chapel Hill at 4 am?,Get Weather.
174,What is the weather all week?,Get Weather.
175,Should I bring an umbrella?,Get Weather.
176,Will it be hot and humid in the Dominican Republic during August?,Get Weather.
177,When is the next time it is going to rain?,Get Weather.
178,Is it cold out today?,Get Weather.
179,Is it going to be hot today?,Get Weather.
180,How windy is it in West Virginia?,Get Weather.
181,Will it be sunny later today?,Get Weather.
182,What is the humidity in Port Orange right now?,Get Weather.
183,Hows the weather in Sydney,Get Weather.
184,Will it be sunny tomorrow,Get Weather.
185,Do I need a coat today?,Get Weather.
186,HOW MANY INCHES OF SNOW SHOULD WE EXPECT?,Get Weather.
187,IS IT SAFE TO GO TO THE BEACH TODAY,Get Weather.
188,How long is the fog going to last this morning?,Get Weather.
189,What is the average temperature in August,Get Weather.
190,How hot does Los Angeles get in September?,Get Weather.
191,Will it snow today?,Get Weather.
192,what is the temperature high for today?,Get Weather.
193,Is it going to storm tonight?,Get Weather.
194,Tell me what the temperature is in 43017 right now.,Get Weather.
195,What is the weather in Chicago on Wednesday?,Get Weather.
196,Is snow predicted in Boston next week,Get Weather.
197,what the weather this week,Get Weather.
198,What will the weather be like in London tomorrow,Get Weather.
199,should i pack a jacket for beech mountain?,Get Weather.
200,how warm is it in Anchorage,Get Weather.
201,What's the temperature right now?,Get Weather.
202,How much snow will we get?,Get Weather.
203,what is the high for today,Get Weather.
204,Is it suppose to rain at the State Fair Park today?,Get Weather.
205,Is it humid outside?,Get Weather.
206,will it be chilly on friday,Get Weather.
207,Is today a good day for the beach?,Get Weather.
208,Should I carry my raincoat today?,Get Weather.
209,Is is suppose to snow today?,Get Weather.
210,What is the weather like in London?,Get Weather.
211,what is the forecast for the next month,Get Weather.
212,whats the forecast,Get Weather.
213,what will the weather be like at San Francisco next month?,Get Weather.
214,Is there any rain this weekend?,Get Weather.
215,should i take an umbrella today,Get Weather.
216,Do I need my raincoat today?,Get Weather.
217,What is the weather in New York?,Get Weather.
218,What will the temperature be for Monday?,Get Weather.
219,what is the temperature for tomorrow?,Get Weather.
220,Should my kids wear their coats this morning?,Get Weather.
221,Can we expect rain at all this week?,Get Weather.
222,How much snow will fall in Detroit this week?,Get Weather.
223,is it raining in seattle right now,Get Weather.
224,sunday's weather,Get Weather.
225,will it snow today,Get Weather.
226,What is the forecast for Saturday?,Get Weather.
227,is it going to rain?,Get Weather.
228,What is the temperature going to be today?,Get Weather.
229,can i wear capris without getting a cold today,Get Weather.
230,Weather forecast for Birmingham,Get Weather.
231,what kind of weather am I going to have in San Diego this weekend,Get Weather.
232,Will the temperature get hotter this week?,Get Weather.
233,is it colder in Catskills than NYC this week,Get Weather.
234,Is it raining in Chicago?,Get Weather.
235,should I bring a jacket to Mississippi next week,Get Weather.
236,Is it going to be sunny in New Jersey tomorrow?,Get Weather.
237,What is the current temperature?,Get Weather.
238,show me weather radar in my area,Get Weather.
239,will it rain today?,Get Weather.
240,NEW YORK NOW WEATHER,Get Weather.
241,What in the weather like in Las Vegas?,Get Weather.
242,Is it going to rain next Wednesday?,Get Weather.
243,whats the temperate in houston,Get Weather.
244,Are there any tropical storms or hurricanes heading toward the Gulf?,Get Weather.
245,what is the high temperature for today,Get Weather.
246,What is the heat index for this week?,Get Weather.
247,"What are the projected weather conditions for Boston, MA  for Labor Day weekend?",Get Weather.
248,how warm out is it,Get Weather.
249,What is the temperature for the next 10 days?,Get Weather.
250,What will the weather be like tomorrow?,Get Weather.
251,What is the weather in Miami?,Get Weather.
252,how warm will it get this week,Get Weather.
253,Should I bring a jacket?,Get Weather.
254,"what is the weather in Los Angeles, CA?",Get Weather.
255,Will I get wet if I walk to work today,Get Weather.
256,is today a haboob day,Get Weather.
257,Is there any snow in the forecast?,Get Weather.
258,What is the weather forecasts in 5 days for SW Miami?,Get Weather.
259,What the weather look like this weekend?,Get Weather.
260,Is there a chance for hail with this storm?,Get Weather.
261,Are there any current hurricane's in the Atlantic ocean?,Get Weather.
262,When is it supposed to rain this week?,Get Weather.
263,Is it going to hot or humid today?,Get Weather.
264,Is the wind strong enough to take down tree branches?,Get Weather.
265,How warm will it be today?,Get Weather.
266,Is it going to rain tomorrow?,Get Weather.
267,what will the low temperature be tonight,Get Weather.
268,What is the temperature for Saturday looking?,Get Weather.
269,What is the weather in New York City?,Get Weather.
270,should i wear a coat outside,Get Weather.
271,What will the weather travel conditions be like to work today.,Get Weather.
272,How cold is it?,Get Weather.
273,What is the weather like for the week?,Get Weather.
274,What does the weather look like in Daytona Beach today?,Get Weather.
275,How much snow today?,Get Weather.
276,What is the temperature in Antarctica right now?,Get Weather.
277,Should I wear sunscreen,Get Weather.
278,When is it going to rain?,Get Weather.
279,sunny all day?,Get Weather.
280,what's the weather in cancun like?,Get Weather.
281,will there be wind tonight,Get Weather.
282,what is the low for tomorrow,Get Weather.
283,Is it going to rain today?,Get Weather.
284,Any chance of storms in the next two months in Southern California?,Get Weather.
285,What is the temperature for sunrise tomorrow?,Unsupported Weather.
286,what's the temperature in Holland,Get Weather.
287,what's the high today?,Get Weather.
288,will it snow today,Get Weather.
289,will it snow tomorrow,Get Weather.
290,What is the humidity like today?,Get Weather.
291,how hot will it be on saturday,Get Weather.
292,What is the lowest temperature for the week?,Get Weather.
293,How cold will it be tonight?,Get Weather.
294,what's augusta's weekend forecast?,Get Weather.
295,What is the forecast for this weekend?,Get Weather.
296,how strong is the wind outside,Get Weather.
297,What is the high for today?,Get Weather.
298,Can I wear shorts today?,Get Weather.
299,How much rain will we get today?,Get Weather.
300,How cold will it be tonight?,Get Weather.
301,Will it be cloudy tomorrow?,Get Weather.
302,Do I need to wear a coat friday night?,Get Weather.
303,will it rain this week?,Get Weather.
304,how hot will it get this weekend?,Get Weather.
305,Will it be sunny all day today?,Get Weather.
306,At what time today do we have a greater than 50% chance of rain,Get Weather.
307,Will the high temperature reach 80 degrees in the next five days?,Get Weather.
308,Is it cloudy in downtown Portland?,Get Weather.
309,what is the weather in Baltimore at 5 pm,Get Weather.
310,is it going to snow,Get Weather.
311,when is it supposed to start raining,Get Weather.
312,what is the current temperature,Get Weather.
313,When is the next hot day in Chicago,Get Weather.
314,How hot is it going to get tomorrow,Get Weather.
315,Is it sunny or windy today?,Get Weather.
316,Is it going to rain today?,Get Weather.
317,What is the weekend weather forecast for Boston?,Get Weather.
318,Is it going to rain at the beach,Get Weather.
319,Is it expected to snow in December of this year?,Get Weather.
320,What' the weather like at Crater Lake for this weekend?,Get Weather.
321,Is it going to rain this week?,Get Weather.
322,what is the low temperature today,Get Weather.
323,Is it going to be windy today?,Get Weather.
324,whats the weather like next week,Get Weather.
325,how hot is it today,Get Weather.
326,what will the weather be like tomorrow?,Get Weather.
327,What's the forecast this week?,Get Weather.
328,Is there ice outside?,Get Weather.
329,Will the temperature be lower tonight?,Get Weather.
330,Do i need a jacket?,Get Weather.
331,what is the weather in miami next week?,Get Weather.
332,is it raining in Tucson,Get Weather.
333,Is it going to rain on Saturday?,Get Weather.
334,What will the humidity be like tomorrow?,Get Weather.
335,How long is the rain suppose to last today?,Get Weather.
336,Should I expect any rain today,Get Weather.
337,When is the next chance for rain?,Get Weather.
338,what is the humidity outside,Get Weather.
339,Will it rain in Disney World today?,Get Weather.
340,will it be humid today,Get Weather.
341,Is it going to rain this afternoon?,Get Weather.
342,What is the temperature for tomorrow?,Get Weather.
343,Is there snow in the forecast?,Get Weather.
344,What's the weather supposed to be tomorrow?,Get Weather.
345,what is the weather in seattle in june,Get Weather.
346,Will it rain in the next three days.,Get Weather.
347,How cold will it be in the morning?,Get Weather.
348,Is it going to rain tomorrow?,Get Weather.
349,Will it be cold today?,Get Weather.
350,How hot will it be tomorrow?,Get Weather.
351,What is the temperature going to be today?,Get Weather.
352,what are the weather alerts for today,Get Weather.
353,What will the weather be like at the Veteran Park at 6:30pm?,Get Weather.
354,What is Sunday's temp,Get Weather.
355,Should I wear a poncho today?,Get Weather.
356,What is the temperature outside?,Get Weather.
357,Is it supposed to rain this weekend?,Get Weather.
358,What is the weather going to be like in an hour,Get Weather.
359,How cold is it today?,Get Weather.
360,Is a hurricane expected to hit America soon?,Get Weather.
361,is there hail coming tonight,Get Weather.
362,Will we get rain today?,Get Weather.
363,Is it cloudy out?,Get Weather.
364,do i need a jacket today?,Get Weather.
365,What is the temperature going to be today?,Get Weather.
366,What is the high temperature going to be today?,Get Weather.
367,what is the dew point,Get Weather.
368,How many inches of snow will we get tomorrow,Get Weather.
369,"My knee hurts, are we expecting rain?",Get Weather.
370,What is the weather in New York City at 3 pm tomorrow?,Get Weather.
371,What will the weather be like next week?,Get Weather.
372,is it snowing in New York?,Get Weather.
373,how much rain are we going to get today,Get Weather.
374,will it be sunny all day,Get Weather.
375,Will it be sunny down the shore today,Get Weather.
376,What is the forecast for the week?,Get Weather.
377,Will it rain at all this week?,Get Weather.
378,give me the weather for today,Get Weather.
379,Will it be freezing this weekend in Tahoe?,Get Weather.
380,When is the snow going to stop?,Get Weather.
381,Should I wear rubber boots?,Get Weather.
382,what is the weather in fort collins,Get Weather.
383,Is there a monsoon warning for Phoenix this week?,Get Weather.
384,forecast for austin tx?,Get Weather.
385,Do I need an umbrella?,Get Weather.
386,what will the weather be like this weekend,Get Weather.
387,Is it going to rain at 9am in Central Park?,Get Weather.
388,Show me a five day forecast,Get Weather.
389,what is the percentage of rain for this weekend,Get Weather.
390,What is relative fall temperature?,Get Weather.
391,is there a chance of hail today?,Get Weather.
392,What are the clouds looking like today?,Get Weather.
393,What is the temperature going to be today?,Get Weather.
394,What's the heat index today?,Get Weather.
395,Will it rain tomorrow in New York City?,Get Weather.
396,Is there a heatwave in Texas?,Get Weather.
397,What is the temperature,Get Weather.
398,Show me the radar of the weather,Get Weather.
399,when is the next time will it rain in Montreal Canada,Get Weather.
400,What is the current temp?,Get Weather.
401,Are there any tornado warnings today?,Get Weather.
402,What's the weather like in Cincinnati?,Get Weather.
403,What is the weekly forecast for Seattle?,Get Weather.
404,Is it going to rain next week?,Get Weather.
405,how cold is it going to be,Get Weather.
406,When is the humidity going to break for good?,Get Weather.
407,what time will it hail today?,Get Weather.
408,whats the weather today,Get Weather.
409,What's the weather like today?,Get Weather.
410,Any hurricanes out in the Gulf of Mexico?,Get Weather.
411,is it going to be sunny today?,Get Weather.
412,What's the weather like next week?,Get Weather.
413,What is the 10 day forecast?,Get Weather.
414,Is it going to rain this week?,Get Weather.
415,is it cold today,Get Weather.
416,how is the weather for the 14th of the month?,Get Weather.
417,how is the weather in England,Get Weather.
418,What's the temperature going to be today?,Get Weather.
419,should i bring an umbrella today?,Get Weather.
420,What's the weather like?,Get Weather.
421,How bad is the rain?,Get Weather.
422,when are we getting rain?,Get Weather.
423,Is it going to rain on Sunday?,Get Weather.
424,Is it too warm to be wearing a hoodie?,Get Weather.
425,Will it snow soon?,Get Weather.
426,What is the high temperature supposed to be tomorrow?,Get Weather.
427,Weather forecast for tomorrow,Get Weather.
428,what is the low for today,Get Weather.
429,Is there a chance of snow?,Get Weather.
430,Will it rain tomorrow?,Get Weather.
431,What will the weather be like at the beach tomorrow.,Get Weather.
432,Do I need to bring a jacket today?,Get Weather.
433,what will the temp be at 12am,Get Weather.
434,What will the temperature be tonight?,Get Weather.
435,Should we expect lightning?,Get Weather.
436,Is it going to be warm this afternoon?,Get Weather.
437,whats the forecast in belier ohio,Get Weather.
438,how much rain should I expect for tomorrow?,Get Weather.
439,"What is the weather in Apex, North Carolina today?",Get Weather.
440,how long is it going to rain today,Get Weather.
441,will i need an umbrella,Get Weather.
442,Current temperature,Get Weather.
443,What are the chances of rain today?,Get Weather.
444,Is there going to be a tornado tomorrow?,Get Weather.
445,what what is next week's forcast?,Get Weather.
446,Is it going to rain?,Get Weather.
447,"What's the weather in central Park, NY today?",Get Weather.
448,Should I expect weather related delays at the airport?,Get Weather.
449,What is the chance of rain for today?,Get Weather.
450,How warm will it be today?,Get Weather.
451,What is Friday's forecast?,Get Weather.
452,What will the temperature be at 6 pm,Get Weather.
453,What is the high for today,Get Weather.
454,What will the temperature be on Tuesday?,Get Weather.
455,How cold is it in Pittsburgh,Get Weather.
456,How hot will it be today?,Get Weather.
457,What's the local forecast this week?,Get Weather.
458,Which direction is the wind today?,Get Weather.
459,Will there be so much snow that schools are closed?,Get Weather.
460,will the weather be cold tonight?,Get Weather.
461,What is the humidity like today?,Get Weather.
462,what is the next week weather forecast?,Get Weather.
463,will it snow tonight?,Get Weather.
464,are there any tornados in the area,Get Weather.
465,Do I need to bring a raincoat today?,Get Weather.
466,What is the temperature in Phoenix today?,Get Weather.
467,Is there snow in the forecast?,Get Weather.
468,what's the forecast,Get Weather.
469,What's the high temperature for today,Get Weather.
470,weather close to work,Get Weather.
471,Do I need a coat today?,Get Weather.
472,Is it windy today?,Get Weather.
473,What's the weather this weekend,Get Weather.
474,Is the sun going to shine later on?,Get Weather.
475,Is it supposed to be hot today?,Get Weather.
476,how much snow are we supposed to get?,Get Weather.
477,when will it rain again,Get Weather.
478,Should I bring a coat?,Get Weather.
479,is there a chance for hailstorm next week,Get Weather.
480,are the roads icy?,Get Weather.
481,Is it going to rain in Atlanta this weekend?,Get Weather.
482,What is the temperature expected to be next week,Get Weather.
483,Are we supposed to have a frost tonight?,Get Weather.
484,What is the chance of rain tomorrow?,Get Weather.
485,is it raining in Florida?,Get Weather.
486,What's the weather in San Francisco?,Get Weather.
487,10 day forecast,Get Weather.
488,Is it going to frost tonight,Get Weather.
489,"how does it feel in dallas, tx",Get Weather.
490,should I pack an umbrella,Get Weather.
491,what is the weather like on the beaches of Washington?,Get Weather.
492,What time of the day will be the hottest today?,Get Weather.
493,current weather in san francisco,Get Weather.
494,will is be snowing in Chicago this week,Get Weather.
495,Do I need to bring a jacket with me today?,Get Weather.
496,is it cooling down this weekend,Get Weather.
497,Is it supposed to rain today?,Get Weather.
498,what is the temperature going to be today?,Get Weather.
499,is there any chances for snow,Get Weather.
500,give me tonight's forecast,Get Weather.
501,Will it rain tonight?,Get Weather.
502,Should I bring an umbrella to work today?,Get Weather.
503,Do I need to bring my jacket today?,Get Weather.
504,what is the weather in Nebraska?,Get Weather.
505,"What is the weather like in Ocean City, Maryland?",Get Weather.
506,What will the weather be for tomorrow?,Get Weather.
507,what will be the temperature today at 5pm in atlanta?,Get Weather.
508,What is the humidity?,Get Weather.
509,is it going to snow today,Get Weather.
510,what is the air temperature?,Get Weather.
511,how hot will it be today,Get Weather.
512,When is it going to snow this week,Get Weather.
513,Is there a tropical storm anywhere?,Get Weather.
514,Will I need a jacket at 4pm?,Get Weather.
515,How does the weather look for my game in Lancaster today?,Get Weather.
516,temperature please,Get Weather.
517,What is the temperature going to be tonight,Get Weather.
518,Should I bring a sweater,Get Weather.
519,What is the humidity level?,Get Weather.
520,will it rain anytime soon,Get Weather.
521,What is this week's forecast?,Get Weather.
522,Chance of rain today,Get Weather.
523,Is there any rain the forecast this week?,Get Weather.
524,Will there be severe weather today?,Get Weather.
525,is it going to sleet tonight?,Get Weather.
526,what is today temperature in raleigh and in jacksonville fl?,Get Weather.
527,When will the blizzard be over in Denver?,Get Weather.
528,Will it rain at all today?,Get Weather.
529,Will it be rainy today?,Get Weather.
530,Is it cold in Alaska all year round?,Get Weather.
531,Will it snow soon?,Get Weather.
532,10 day forecast,Get Weather.
533,AROUND WHAT TIME WILL IT START RAINING?,Get Weather.
534,is it going to be sunny today,Get Weather.
535,Rain today?,Get Weather.
536,Forecast for today,Get Weather.
537,Are we getting a tropical storm this week.?,Get Weather.
538,is it cloudy today?,Get Weather.
539,is it going to rain all day,Get Weather.
540,do I need an umbrella,Get Weather.
541,whats the temperature tomorrow,Get Weather.
542,when it is supposed to rain?,Get Weather.
543,Will it be windy all week?,Get Weather.
544,It is going to rain today?,Get Weather.
545,What will be the warmest day?,Get Weather.
546,Next weekends forecast,Get Weather.
547,what is the temperature outside today,Get Weather.
548,What's the chance  of rain?,Get Weather.
549,Should I bring a  scarf?,Get Weather.
550,is it going to rain this week,Get Weather.
551,will it storm on my wedding day,Get Weather.
552,Will it be raining in San Diego during my trip?,Get Weather.
553,do i need an umbrella?,Get Weather.
554,Is there a storm warning today?,Get Weather.
555,What is the weather like today in Austin,Get Weather.
556,do i need an umbrella,Get Weather.
557,What is the chance of rain today?,Get Weather.
558,Is it going to rain tomorrow?,Get Weather.
559,Is today going to be warm?,Get Weather.
560,When will the rain stop?,Get Weather.
561,How hot is it going to be a 4 PM in Helotes,Get Weather.
562,How much rain will fall today?,Get Weather.
563,how cold is it in Texas,Get Weather.
564,when will it snow,Get Weather.
565,What's the latest news on hurricane track?,Get Weather.
566,Do I need to carry an umbrella today?,Get Weather.
567,what is the high temperature,Get Weather.
568,Will it snow in Arizona this year?,Get Weather.
569,Is it chilly outside?,Get Weather.
570,how hot will it be this weekend,Get Weather.
571,What is the weather in Atlanta today?,Get Weather.
572,What is the temperature supposed to be like today?,Get Weather.
573,Is it going to rain?,Get Weather.
574,what is the weather going to be like at 5 pm?,Get Weather.
575,How many rainy days are in this weeks forecast?,Get Weather.
576,what will be the lowest temperature today?,Get Weather.
577,What is the weather going to be like today?,Get Weather.
578,What's the low temp in Alpharetta tonight?,Get Weather.
579,Are there storms in the forecast for North Carolina?,Get Weather.
580,is it going to snow monday,Get Weather.
581,Is it supposed to freeze this weekend?,Get Weather.
582,What is the current weather,Get Weather.
583,How hot is it right now?,Get Weather.
584,how hot is it going to be today,Get Weather.
585,is it going to snow in Boston today,Get Weather.
586,What is the weather in Edison at 6 am?,Get Weather.
587,predicted snowfall for the week,Get Weather.
588,10-day forecast for Lodi,Get Weather.
589,What the percentage of rain for Wednesday night?,Get Weather.
590,How much rain are we going to have today,Get Weather.
591,What is the forecast for New Orleans?,Get Weather.
592,Any thunderstorms today?,Get Weather.
593,"What was the high today in Cleveland, OH?",Get Weather.
594,Is there rain in the forecast for San Francisco next week?,Get Weather.
595,What will be today's high and low?,Get Weather.
596,Is it going to be cold today?,Get Weather.
597,Is there a blizzard predicted for my area?,Get Weather.
598,how cloudy is it today,Get Weather.
599,can i get a boating forecast,Get Weather.
600,will it rain in Houston this week,Get Weather.
601,is it long or short sleeved weather today,Get Weather.
602,will it rain at 3 a.m.?,Get Weather.
603,Is it cold enough to wear a sweater,Get Weather.
604,what will be the temperature today?,Get Weather.
605,Is it hailing?,Get Weather.
606,What will the weather be like on Saturday?,Get Weather.
607,What is the weather like in Portland right now?,Get Weather.
608,when does the rain stop,Get Weather.
609,Will it be hot today?,Get Weather.
610,Its not sunny outside will it rain?,Get Weather.
611,is it going to be windy today,Get Weather.
612,what is the current situation with tropical storms,Get Weather.
613,What is the temperature in death valley?,Get Weather.
614,is it humid on wednesday?,Get Weather.
615,How hot is it going to be today?,Get Weather.
616,What is the humidity level today,Get Weather.
617,Will I need an umbrella today,Get Weather.
618,Do we have a flash flood warning for today?,Get Weather.
619,will it rain today,Get Weather.
620,Is it cold in Namibia these days,Get Weather.
621,What is the temperature in Fairless Hills today?,Get Weather.
622,Is it supposed to rain all day today?,Get Weather.
623,is there rain in the forecast?,Get Weather.
624,Will I see the sun today?,Get Weather.
625,Should I bring a winter jacket,Get Weather.
626,Will it snow tomorrow?,Get Weather.
627,What time is high tide?,Get Weather.
628,Do I need my rainboots?,Get Weather.
629,how hot it is in australia,Get Weather.
630,Do I need a coat?,Get Weather.
631,What shoes should I wear tomorrow?,Get Weather.
632,What will the weather be like this weekend?,Get Weather.
633,what is the weather in Chicago,Get Weather.
634,How much rain are we getting today,Get Weather.
635,is it going to rain today,Get Weather.
636,what is pollen count today,Unsupported Weather.
637,what is the weather today,Get Weather.
638,will it freeze tonight,Get Weather.
639,Do I need sunscreen today?,Get Weather.
640,Is it going to be cold today?,Get Weather.
641,Is the weather clearing up?,Get Weather.
642,How warm is it going to be today?,Get Weather.
643,What's the weather in Marco Island next week?,Get Weather.
644,Is a lot more rain expected in New Hampshire?,Get Weather.
645,how much longer will it rain,Get Weather.
646,"weather in dayton, oh",Get Weather.
647,is it hot outside,Get Weather.
648,is it suppose to rain tomorrow,Get Weather.
649,Will I need snow boots today?,Get Weather.
650,Will I need sunscreen today?,Get Weather.
651,What is the temperature in Phoenix today,Get Weather.
652,Is there a change of rain today,Get Weather.
653,Is it going to rain this weekend?,Get Weather.
654,Do I need a sweater?,Get Weather.
655,Is it going to be sunny all week?,Get Weather.
656,Should I bring a jacket tomorrow?,Get Weather.
