,text,intent
94,Remind me to pick up pads today,Create Reminder.
95,set a reminder to buy light bulbs for the bathroom,Create Reminder.
96,Remind me to wake up at 6 for interview tomorrow,Create Reminder.
97,Remind me Friday is trash day.,Create Reminder.
98,Remind me each week to look at craft ideas on Pinterest.,Create Reminder.
99,remind me to book the Sedona helicopter tour tomorrow,Create Reminder.
100,Remind me about my tutoring session on Sunday at 7 pm.,Create Reminder.
101,Set reminder for tomorrow's baby shower,Create Reminder.
102,Set a reminder for our beach trip on Saturday,Create Reminder.
103,Remind me at 4:30pm when I get home to find the Great Clips coupon for Joe,Create Reminder.
104,What reminders do I have after 5pm today?,Get Reminder.
105,Remind me to pick up a plumbing wrench at 5pm on Thursday.,Create Reminder.
106,Remind about the school's field trip on Monday at 10am,Create Reminder.
107,set an alert to go off 10 minutes to 2 pm.,Create Reminder.
108,Can you remind me that my meeting is at 5 pm?,Create Reminder.
109,Remind me to give dog rabies shot every 3 years.,Create Reminder.
110,Delete the reminder to attend class for tomorrow morning.,Delete Reminder.
111,I must be reminded to check Maria's mail everyday next week.,Create Reminder.
112,Remind me to edit my essay tonight.,Create Reminder.
113,"I want to do something nice for my mom, please remind me to go shopping today at 5pm on Thursday.",Create Reminder.
114,Remind me of Kindergarten Orientation on August 30th at 9 pm.,Create Reminder.
115,Remind David we only have 5 dog bones and need to order some.,Create Reminder.
116,Set a reminder for 1 hour before Shea's soccer game.,Create Reminder.
117,Remind me to water the plants every Monday,Create Reminder.
118,update my interview from 10:00am to 2:45pm next tuesday,Update Reminder Date Time.
119,"I need to leave the house at 10:30 in the morning, can you remind me an hour ahead of that",Create Reminder.
120,Remind me to pick up Gizmo's medicine from the vet before 5pm on Friday.,Create Reminder.
121,Remind me tomorrow morning to email Edward about his car.,Create Reminder.
122,Remind me to get cat litter today.,Create Reminder.
123,Remind me to look up that directive for Marshall today.,Create Reminder.
124,remind me to shop for party stuff on friday,Create Reminder.
125,remind me in three years to schedule a pap smear,Create Reminder.
126,Set up an alert for early morning gym,Create Reminder.
127,Do I have any appointments this week,Get Reminder.
128,Remind me to request for the 20th off,Create Reminder.
129,Remind Darcy to come feed the cats Friday at 3 PM.,Create Reminder.
130,"I start a new job tomorrow, remind me to go get new shoes today at 5pm",Create Reminder.
131,Set up a weekly reminder for the maid to clean the blinds.,Create Reminder.
132,Can you delete the reminder about buying bread this evening. I already bought some.,Delete Reminder.
133,Remind me to take my eyedrops every day at 8 pm.,Create Reminder.
134,remind me to pick up my prescription tomorrow,Create Reminder.
135,Remind me about my hair appointment tomorrow at 3pm,Create Reminder.
136,what reminders do i have for this weekend?,Get Reminder.
137,Set a reminder for my dad about our dinner plans tomorrow.,Create Reminder.
138,Remind me at the beginning of august of my nephew's party.,Create Reminder.
139,Remind me what time am I having dinner with Jeff this week,Get Reminder.
140,Set up a weekly reminder to enter the fuel cards by the end of the day on Fridays.,Create Reminder.
141,Can you make Cindy a reminder to pull the Turkey out of the oven at 7?,Create Reminder.
142,Remind me about yoga class every Wednesday at 7 pm.,Create Reminder.
143,Remind me to change credit card's on Netflix on September 29.,Create Reminder.
144,Please remove the Brooklyn Museum event on Thursday.,Delete Reminder.
145,I need you to remind me that basketball practice begins at 7:30 PM.,Create Reminder.
146,Set up weekly reminders for upcoming playdates.,Create Reminder.
147,Remind me that dinner will be ready at 5:30.,Create Reminder.
148,Please send a reminder to Bill regarding his presentation,Create Reminder.
149,Remind Mom and Dad on Friday that they are watching Jane this weekend.,Create Reminder.
150,Can you remind me to get cereal today?,Create Reminder.
151,The cat cannot have food after 7pm on Thursday and has to be at the vet by 7am on Friday.  Please remind me on Thursday at 5.,Create Reminder.
152,Remind me to make our airline reservations on Monday.,Create Reminder.
153,remind mandy to leave at 11; alert her 30 mins before,Create Reminder.
154,Set up a daily reminder for Aidan to feed Aly at 3pm.,Create Reminder.
155,remind me of the boys' speech therapy apointment every tuesday at 4 pm,Create Reminder.
156,Set reminder 20 minutes before 3pm to catch the train.,Create Reminder.
157,Remind me to set the house alarm each evening at 7PM. Alert me one hour before.,Create Reminder.
158,What reminders did I have  next week?,Get Reminder.
159,Remind me to text my dad about his car's repair.,Create Reminder.
160,Send me alert to set up the coffee maker each night at 10pm.,Create Reminder.
161,Remind Deb to add her menu to the camping list.,Create Reminder.
162,Remind me to go to the meeting at 2pm,Create Reminder.
163,Remind me to run antivirus every week on Friday.,Create Reminder.
164,Delete the homework reminder,Delete Reminder.
165,remind me to take my wife's car to work tomorrow,Create Reminder.
166,What are my reminders for Monday next week?,Get Reminder.
167,reminder to change the date for the recital,Create Reminder.
168,Set up a reminder about my meeting with Bob at 11 am on August 2nd.,Create Reminder.
169,Delete reminder regarding Javier's bachelor party for tomorrow.,Delete Reminder.
170,Reminder that Dylan has a play date Saturday at 3pm.,Create Reminder.
171,Can you remind me to order movie tickets before noon tomorrow,Create Reminder.
172,Remind me to email the cruise line tomorrow to make my next payment.,Create Reminder.
173,Set up a monthly reminder for John to pay the mortgage the 1st day of every month.,Create Reminder.
174,Delete lunch reminder.,Delete Reminder.
175,Can you remind me about my meeting on Tuesday?,Create Reminder.
176,Create a new reminder about Sammi's grooming appointment on Saturday.,Create Reminder.
177,Remind me to email Susan Jackson the menu tomorrow at 1:30 pm.,Create Reminder.
178,Remind my teammates that the next game is blue uniforms,Create Reminder.
179,Set up a reminder on Friday the 31st for water polo practice,Create Reminder.
180,Send an alert to me each Saturday afternoon to remind me not to miss church attendance.,Create Reminder.
181,What reminders do I have for Thursday between 1pm and 7pm?,Get Reminder.
182,Delete my reminder to ship the old TV box.,Delete Reminder.
183,remind me next May that I need to get a car inspection,Create Reminder.
184,Remind me to get my oil changed in my car every 4 months.,Create Reminder.
185,Add a reminder to mail MeMe a birthday card no later than Tuesday.,Create Reminder.
186,remind me to update my resume for the new job promotion tonight,Create Reminder.
187,Remind me to give David his letter before the 24th.,Create Reminder.
188,Reminds Joe to bring the Camera for the festival next Wednesday.,Create Reminder.
189,Set a reminder to have my car serviced next Friday at 6 pm.,Create Reminder.
190,cancel my reminder to get tacos for dinner dads cooking steaks instead.,Delete Reminder.
191,Can you remind me to buy eggs,Create Reminder.
192,Set up a reminder for my husband to take the trash out on Tuesday night (Pacific Time) because I will be traveling out of the city for that day.,Create Reminder.
193,Set up a reminder for next week to send out the phone bill,Create Reminder.
194,tell me to start the bread at 12pm tomorrow,Create Reminder.
195,Remind me I need to help dad after his event on Friday.,Create Reminder.
196,Remind Andrea of Carole's birthday Sunday,Create Reminder.
197,Change my reminder from doctor's appointment at 11am to 10am,Update Reminder Date Time.
198,Remind me that I have tickets for the ballet next week,Create Reminder.
199,The Warrior game is on at 7 PM tonight remind me to set the record button on the DVR 10 minutes before.,Create Reminder.
200,Set up a monthly reminder to give the dogs flee and tick medicine.,Create Reminder.
201,"Reminder, 1pm, meeting, today.",Create Reminder.
202,Set up a weekly reminder to log on to watch the live broadcast Mondays at 10a EST,Create Reminder.
203,I'd like to remind myself that Tuesday we are having game night at 8,Create Reminder.
204,Remind me to submit my application for Festifall at 4 pm tomorrow.,Create Reminder.
205,Set a reminder to get the oil changed in my car every three months on the 20th.,Create Reminder.
206,WHAT REMINDERS DO i HAVE FOR THE MONTH OF OCTOBER,Get Reminder.
207,I need to study tonight: can you remind me at 8pm.,Create Reminder.
208,Remind Rodney about work meeting at 4pm,Create Reminder.
209,Set a reminder in 4 hours telling me to take the chicken out of the freezer for tomorrow.,Create Reminder.
210,What reminders do I have for the week?,Get Reminder.
211,Can you remind me to send Nina a card,Create Reminder.
212,Please remind me to do grocery shopping at 6PM tonight.,Create Reminder.
213,Can you alert me 15 minutes before my doctors appointment?,Create Reminder.
214,Remind me to get cat litter after work on Wednesday.,Create Reminder.
215,Remind me to set up a hair appointment before Danielle's wedding,Create Reminder.
216,update reminder to pick up shirts from the dry cleaner on Thursday instead of Wednesday,Update Reminder Date Time.
217,Remind me to pick up Madi for work every day at 1 pm.,Create Reminder.
218,Alert me 45 minutes before call with career services.,Create Reminder.
219,Remind me to bring a polaroid camera for ashley,Create Reminder.
220,remind me to feed the kids,Create Reminder.
221,Set up a weekly reminder to approve the timecards of my employees every Monday.,Create Reminder.
222,remind me to make my bed every morning,Create Reminder.
223,Delete my reminder I have set for today,Delete Reminder.
224,remind john that his dinner is served,Create Reminder.
225,Create reminder one week prior to July 12th for scheduling tire rotation.,Create Reminder.
226,WHAT REMINDERS DO I HAVE FOR NEXT MONDAY,Get Reminder.
227,I still need to get train tickets for my trip to New York City; remind me to get them at 8 pm.,Create Reminder.
228,remind me to bake the cookies left in the freezer by next Friday.,Create Reminder.
229,Remind me to email Market Research LTD about non-payment.,Create Reminder.
230,remind me to order the flowers for the funeral,Create Reminder.
231,Remind me to buy a gift for Sally this evening at 6:00 pm.,Create Reminder.
232,Remind my husband that he has a dentist appointment at 11am on Saturday,Create Reminder.
233,set a weekly reminder for Wednesday evening that trash goes out.,Create Reminder.
234,Set up a reminder to take out the trash every Monday night.,Create Reminder.
235,Can you create a reminder for this Sunday at noon for lunch with Jean?,Create Reminder.
236,Remind me to leave for my car emissions test at 7:30am on Friday.,Create Reminder.
237,Skip any reminders for the rest of the day,Delete Reminder.
238,remind me to return my books to the library on Friday,Create Reminder.
239,Remind me at 8 am to go check my mailbox.,Create Reminder.
240,Set a reminder to pick up Jerry at 2pm every Wednesday.,Create Reminder.
241,remind me to turn on the soaker hoses at 7 tonight.,Create Reminder.
242,What are my appointments and reminders for Saturday and Sunday?,Get Reminder.
243,I need an alert for a workshop to attend this evening.,Create Reminder.
244,Delete weekly meetings with Gilly at 4pm.,Delete Reminder.
245,Delete my 6:30 pm reminder.,Delete Reminder.
246,"Remind the kids about their appointment on Tuesday, September 18th.",Create Reminder.
247,Can you remind me to wish Jack a happy birthday on September 9th?,Create Reminder.
248,"If I have any breakfast reminders, cancel them",Delete Reminder.
249,Create weekly reminder to weed garden and flower bed.,Create Reminder.
250,Setup a weekly reminder for my exercise class at 9 am on Fridays.,Create Reminder.
251,What reminders do I have scheduled for this week?,Get Reminder.
252,Remind me to wrap and hide the kids presents on December 20th.,Create Reminder.
253,please set up a reminder for emily regarding her dental appointment on Wednesday at 8am,Create Reminder.
254,Alert me every Friday morning to send a group email about weekend activities,Create Reminder.
255,Can you remind me to set up a meeting between myself and John,Create Reminder.
256,change my 8 am reminder on Tuesday to 9 am on Wednesday,Update Reminder Date Time.
257,Please remind me to take the first Friday after the 22nd of every month off.,Create Reminder.
258,Delete reminder for interview Tuesday at 12pm.,Delete Reminder.
259,Remind me to exercise every morning.,Create Reminder.
260,Remind me to update the events on the Harlem Running Club facebook page tomorrow.,Create Reminder.
261,Remind me to check Facebook and reply to notifications.,Create Reminder.
262,Add a reminder to my Saturday list for baking a cake,Create Reminder.
263,Set an alert for an hour from now.,Create Reminder.
264,Remind me about the doctor appt. today.,Create Reminder.
265,Remind me to check out this url: url.com,Create Reminder.
266,Remind me to make a vet appointment for Rufus,Create Reminder.
267,Remind me to walk the dogs tomorrow morning.,Create Reminder.
268,hey will you remind me to not get my mom a sweater for next christmas,Create Reminder.
269,Remind me to prepare dinner.,Create Reminder.
270,Remind me to respond to Trish's email regarding supplies needing to be ordered,Create Reminder.
271,Remind me to turn off the water in 1hr exactly!,Create Reminder.
272,Make sure you remind me to buy an anniversary gift tonight.,Create Reminder.
273,"When the email from my accountant arrives, remind me to check my tax return.",Create Reminder.
274,"I have a meeting Friday at 7 PM, please set a reminder",Create Reminder.
275,Please remind me to buy Modge Podge.,Create Reminder.
276,reminder for yoga class tomorrow,Create Reminder.
277,Remind me to tell Derek that we have counseling at 7 pm.,Create Reminder.
278,Set up a reminder to make a car payment by 1 pm Monday.,Create Reminder.
279,Remind me when Alta's next sale is this Friday.,Create Reminder.
280,Delete remind to study for the final.,Delete Reminder.
281,delete today's lunch reminder at 2pm,Delete Reminder.
282,Remind the PTO about the meeting on Thursday at 7 p.m.,Create Reminder.
283,Remind me to drink water everyday at 10 am,Create Reminder.
284,Remind me to walk the dogs tomorrow at 2pm.,Create Reminder.
285,Can you remind me to feed my dog in the morning,Create Reminder.
286,Remind me to go to the grocery store after the gym tonight.,Create Reminder.
287,Remind me to pick up some bread tonight on my way home from work by 4,Create Reminder.
288,Can you remind me to turn in my final paper Sunday at 11 pm for my psychology class?,Create Reminder.
289,Remind me one day before January 2 at 10:30am Naniloa has a Doctor's appointment.,Create Reminder.
290,Remind me on the 10th of each month to pay my water bill.,Create Reminder.
291,Remove the reminder for pharmacy pick up at 5 pm,Delete Reminder.
292,Remind Jeff to take the dogs out every day at 12 noon.,Create Reminder.
293,SET UP REMINDER TO MAIL APPLICATION TODAY AT 2PM.,Create Reminder.
294,Remind me to check my email daily at 7 pm.,Create Reminder.
295,Remind me my show starts at 9 pm,Create Reminder.
296,I need supplies for my next art show; please set reminder to place an order with Rio Grande Friday.,Create Reminder.
297,Remind my sister to pick up my daughter at 2pm; alert 20 minutes beforehand,Create Reminder.
298,Set a reminder for dermatologist appointment on Wednesday.,Create Reminder.
299,"remind me to Listen to a genre of music you haven't tried before-perhaps Jazz, Punk or Blues at11 pm.",Create Reminder.
300,remind me to pick up conner from boy scouts at 7 pm,Create Reminder.
301,remind me to schedule a doctors appointment at the end of the month,Create Reminder.
302,I don't want to forget that I'm working for Kara on Sunday; make an alert for 11pm Saturday night,Create Reminder.
303,Set a reminder for doctors appointment tomorrow at 9:00,Create Reminder.
304,Remind me to take my library card on Friday morning to check out books.,Create Reminder.
305,remind me to set up a meeting tomorrow at 7pm,Create Reminder.
306,Can you remind me to submit my timecard on Friday at 4 pm?,Create Reminder.
307,Remind me to tell the team the updates in Monday's meeting,Create Reminder.
308,Alert me 15 minutes before running group starts.,Create Reminder.
309,Set up a weekly reminder to pull weed's out of the flower bed.,Create Reminder.
310,Have I set any reminders for next week?,Get Reminder.
311,Set up a daily reminder to finish homework before 7pm.,Create Reminder.
312,Remind me to book the hotel for our anniversary on the 14th,Create Reminder.
313,Please remind me to register Kade for preschool on Monday at 9AM,Create Reminder.
314,What reminders do I have for this morning?,Get Reminder.
315,Please remind me to feed the dog at 4pm every day,Create Reminder.
316,Remind me to send in my book report for next Sunday,Create Reminder.
317,Set reminder 2 hours before Kendall's dance recital on Thursday night at 7:00 pm,Create Reminder.
318,Set up a reminder to ask Bill or an about glucagon use and expiration today.,Create Reminder.
319,Send a reminder to my friends about our brunch tomorrow at 2 pm,Create Reminder.
320,Remind me to bring donuts to church on Sunday.,Create Reminder.
321,Remind me to pay my phone bill on the 13th of August 2018.,Create Reminder.
322,Remind me that Julie has the day off at 7am friday,Create Reminder.
323,Remind me at 4 a.m to walk the dog.,Create Reminder.
324,Delete the reminder for dinner on Sunday,Delete Reminder.
325,Adjust the reminder about baking a vanilla cake this Saturday to baking a chocolate cake.,Update Reminder Todo.
326,cancel Lucy's recital reminder.,Delete Reminder.
327,Please set a reminder for my dentist appointment on the 9th.,Create Reminder.
328,Set up a reminder to pay rent on the first.,Create Reminder.
329,Remind me to change my work schedule,Create Reminder.
330,Remind me to send Jennifer an email about next weeks meeting,Create Reminder.
331,Remind me to print and complete registration papers,Create Reminder.
332,Remind me to take my medications tomorrow afternoon.,Create Reminder.
333,I need a monthly reminder to pay Union dues for the first of each month,Create Reminder.
334,Remove my workout reminder for tomorrow morning,Delete Reminder.
335,Remind me to do my laundry at 7:00 pm this evening.,Create Reminder.
336,Set up a reminder for my Son to turn in his history project Wednesday.,Create Reminder.
337,"I need a reminder to run a cold, dark load of laundry today at 4 pm.",Create Reminder.
338,Delete my reminders for tomorrow.,Delete Reminder.
339,I need you to remind me of my dentist appointment next week.,Create Reminder.
340,Set a reminder for Mrs. Thomas that orientation  is on the 7th @ 9 and alert her 10 mins before,Create Reminder.
341,Set a reminder to do my stretches everyday for 15 minutes,Create Reminder.
342,Set up a reminder for my doctors appointment on Thursday at 11am,Create Reminder.
343,Remind me to change alarm to 6 am on Saturday.,Create Reminder.
344,remind me to email mom that recipie for cookies,Create Reminder.
345,Remind me that we are going to the orchestra on Saturday evening at 7:00 p.m.,Create Reminder.
346,Remind me to go to buy a new set of highlighters tomorrow morning.,Create Reminder.
347,Change the time of my phone meeting reminder for tomorrow to 2pm.,Update Reminder Date Time.
348,Remind me to drop off my prescription in 3 hours,Create Reminder.
349,Remind me to play swag IQ at 7,Create Reminder.
350,I no longer need to be reminded to buy milk.,Delete Reminder.
351,I won't have to pick up Brenda for work this week; delete reminder.,Delete Reminder.
352,Remind me to text Shane once a month.,Create Reminder.
353,Remove the reminder for my date with ET on Friday.,Delete Reminder.
354,Make a reminder for school orientation Friday,Create Reminder.
355,Remind me to pick up flowers for my wife today.,Create Reminder.
356,Set reminder to do Fonque's hair on Thursday at noon?,Create Reminder.
357,Make sure Emma and Jack don't forget they have play practice at noon this Saturday; send them a reminder Friday night.,Create Reminder.
358,Remind me to build my shoe closet tomorrow morning.,Create Reminder.
359,delete leave office reminder,Delete Reminder.
360,Delete my meeting reminder.,Delete Reminder.
361,Set a reminder to take out the trash on Tuesday,Create Reminder.
362,Help me remember to pay my car insurance quarterly premium on Friday the 3rd.,Create Reminder.
363,Remind me to order baby wipes from Amazon Prime today.,Create Reminder.
364,Remind me at 3 pm to email Tom about the details of the meeting next Tuesday.,Create Reminder.
365,Please remind me to pick up paper towels this afternoon.,Create Reminder.
366,Remind me to clean the fish tank,Create Reminder.
367,Alexa remind me this weekend that I have to delete spam emails from my email box.,Create Reminder.
368,Set reminder every Tuesday for Cross Fit.,Create Reminder.
369,"I need to watch the Tupperware live event on the 4th, set a reminder for 7pm on the 4th of august",Create Reminder.
370,Please alert me to leave 15 mins earlier on Sunday.,Create Reminder.
371,delete the reminder for the playdate today,Delete Reminder.
372,remind to pick up toilet paper on my way home from work,Create Reminder.
373,remind everett at 6 pm to take his vitamins,Create Reminder.
374,Set a reminder to check with Elisa on a good day to meet for game night.,Create Reminder.
375,Are there any reminders for next Tuesday?,Get Reminder.
376,Remind me to grocery shop for Saturday evening                                                                           dinner party for five guests at 5:00 pm.,Create Reminder.
377,Please remind me to mail Christmas cards on Dec 12.,Create Reminder.
378,remind me to pick up the library book on the 4th,Create Reminder.
379,Delete my weekly lunch reminders with Jason,Delete Reminder.
380,Remind me to take the dog to the vet on Thursday.,Create Reminder.
381,Set a reminder up for my Mom to bring the car seat at 9 am tomorrow.,Create Reminder.
382,Can you delete the reminder to pack for Jamaica tomorrow?,Delete Reminder.
383,Remind me every Tuesday at  8am about my evening guitar lesson.,Create Reminder.
384,Remind me to purchase my school books by Friday afternoon.,Create Reminder.
385,delete my reminder for my sunday brunch,Delete Reminder.
386,Set up an alert for every night at 9pm to set the house alarm.,Create Reminder.
387,Remind me to talk to my ex-husband about his delinquent child support on Saturday morning.,Create Reminder.
388,Remind me to pay the cable bill on the first of every month.,Create Reminder.
389,"set a reminder to pick up milk, eggs and cheese",Create Reminder.
390,Remind me when auburn tiger's play,Create Reminder.
391,Remind me to ship my packages on Tuesday.,Create Reminder.
392,remind todd to gather supplies,Create Reminder.
393,delete the party reminder this wednesday,Delete Reminder.
394,Remind my husband that it's our anniversary tomorrow,Create Reminder.
395,Set a reminder to  go get gas after work today,Create Reminder.
396,Delete my reminder for the baby shower next weekend.,Delete Reminder.
397,Can you remind me that I have a dinner meeting with John next Tuesday at 7 pm.,Create Reminder.
398,What are all my reminders for the upcoming week.,Get Reminder.
399,Remind me today at 2pmt to forward the orchestra schedule to the show's director.,Create Reminder.
400,When is the reminder set for to show me that I have a client,Get Reminder.
401,Change the reminder to create a budget to Thursday instead of Friday,Update Reminder Date Time.
402,cancel all reminders about work since I quit my job,Delete Reminder.
403,set up a reminder for me to renew my license by the end of the month,Create Reminder.
404,Remind my husband to mow the lawn before 7pm tonight,Create Reminder.
405,Remind me to record the young and the restless at 11 am tomorrow.,Create Reminder.
406,Remind me to plan a dinner party for the board members next week.,Create Reminder.
407,Add a reminder to return my Redbox videos tomorrow.,Create Reminder.
408,remind in next May to sign up for my election class,Create Reminder.
409,Cancel my puppy play date reminders this weekend.,Delete Reminder.
410,Remind me to balance my checkbook every Sunday afternoon.,Create Reminder.
411,Delete Emersyn's soccer game reminder for tomorrow.,Delete Reminder.
412,Remove reminder for dinner tomorrow,Delete Reminder.
413,Remind me to check the status of my financial aid today at 3 pm.,Create Reminder.
414,Remind me to buy diapers today,Create Reminder.
415,Remind Kevin about football practice tomorrow.,Create Reminder.
416,please remind me to remind husband to take his pills,Create Reminder.
417,Change the PTA meeting from 6pm to 7pm on Saturday.,Update Reminder Date Time.
418,Reminder for going to bed so I don't stay up too late,Create Reminder.
419,Remind me to schedule an appointment with Brian today.,Create Reminder.
420,Remind me to get Flash Cards for the test on 9/18,Create Reminder.
421,Remind me to tell Angie  I am bringing the salad for bible study on Friday,Create Reminder.
422,Cancel all of Fridays reminders.,Delete Reminder.
423,What are my reminders for Tuesday morning?,Get Reminder.
424,Can you please remind me to pay the utility bill on Friday at 2 pm?,Create Reminder.
425,Do I have any reminders this week?,Get Reminder.
426,Remind me on Tuesday to look up that recipe for my Mom's lasagna.,Create Reminder.
427,Do I have any reminders on Tuesday or Wednesday of next week?,Get Reminder.
428,remind me to meet with clients tomarrow at 9am,Create Reminder.
429,Delete orientation reminder.,Delete Reminder.
430,Set up reminder to watch Pose every Sunday night at 9pm,Create Reminder.
431,Please remind me to file my quarterly report tomorrow at 1pm with a total hours of 105 for l&i,Create Reminder.
432,"Remind me to meet with my daughter for lunch on Aug. 18, 2018, at 1:00 PM.",Create Reminder.
