text,true_label,predicted_label
Is No Time to Be Young showing at AMC Theaters,Search Screening Event.,Search Creative Work.
I want to see Shattered Image .,Search Screening Event.,Search Creative Work.
Will I Think I Do be playing at 7 PM ?,Search Screening Event.,Play Music.
Find the schedule for Great Mail Robbery .,Search Screening Event.,Search Creative Work.
Give me the movies in the neighborhood,Search Screening Event.,Rate Book.
Is The Two Gladiators playing,Search Screening Event.,Search Creative Work.
What's the movie schedule for Great Escape Theatres,Search Screening Event.,Search Creative Work.
I want to see Outcast .,Search Screening Event.,Search Creative Work.
I need times for A Yiddish World Remembered at Dipson Theatres,Search Screening Event.,Search Creative Work.
Is The Eye – Infinity playing at General Cinema Corporation,Search Screening Event.,Search Creative Work.
is We Are Northern Lights playing in any movie theatre,Search Screening Event.,Search Creative Work.
Show the Sexy Dance 2 times at the closest movie house,Search Screening Event.,Search Creative Work.
Is Cowboy Canteen playing,Search Screening Event.,Search Creative Work.
What are the movie times,Search Screening Event.,Rate Book.
what are the movie times,Search Screening Event.,Rate Book.
what are the times for The Gingerbread Man,Search Screening Event.,Search Creative Work.
Is any cinema playing The Spirit of Youth,Search Screening Event.,Search Creative Work.
What's the movie schedule at Great Escape Theatres,Search Screening Event.,Search Creative Work.
Show the times for Cheers for Miss Bishop at Dipson Theatres .,Search Screening Event.,Search Creative Work.
I want to see Married to the Enemy 2 at a cinema .,Search Screening Event.,Search Creative Work.
